timestamp,target_x,target_z,actual_x,actual_z,joint1_angle,joint2_angle,joint3_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint1_torque,joint2_torque,joint3_torque,kp,kd,amplitude_A,center_x,center_z
1753800513.3871775,0.1657726447035656,0.33681245526846776,0.16267717417997732,0.32972223447365706,-0.17690339782082004,1.6550705858521462,1.279306495330857,0.9232257699168631,-0.03167440278125028,-0.23518568865340422,2.8152948223120378,-0.4556551091209669,-7.844327678611973,-2.9902926136514387,-4.238925388926101,-0.5037043572144593,0.02,0.3,-0.1,0.2,0.3
1753800513.3955848,0.1662333595939488,0.3362275366704546,0.16301771464474932,0.32916019652312634,-0.17302350284802626,1.6549204179445534,1.2782759658265321,0.9311747934705081,-0.036040297822281075,-0.24732708103798656,3.0139697639366236,-0.7602225007403837,-7.468946265695234,-3.014467915986476,-4.237151717696087,-0.5005144664393463,0.02,0.3,-0.1,0.2,0.3
1753800513.4042494,0.16669940662828742,0.3356411878713251,0.16336503211014325,0.32859659118406126,-0.1691113856392277,1.6547522682078828,1.277195148654888,0.9389081301116519,-0.04035593680095201,-0.2593961211945721,3.185896057408005,-1.038308631150997,-7.118132979152566,-3.0404894501556976,-4.235764230850558,-0.49675021046769147,0.02,0.3,-0.1,0.2,0.3
1753800513.413087,0.1671707122123522,0.33505343201912585,0.16371901399740357,0.32803143232538584,-0.16515635014178212,1.6545520556915319,1.2760847002316165,0.9492085193869378,-0.048051003924215796,-0.2665076215851713,3.3628715088234893,-1.3294028766260753,-6.733804325996813,-3.031780168951528,-4.241647546176112,-0.4936847409060698,0.02,0.3,-0.1,0.2,0.3
1753800513.519622,0.1676472019215278,0.3344642923174517,0.16407941746543367,0.3274647316113989,-0.161162971375223,1.6543248365791179,1.2749375933674536,0.9584109039741869,-0.05453258697936536,-0.275305647399088,3.562956813094252,-1.6520687870424182,-6.289563766766063,-3.067974933673951,-4.237170105161492,-0.4900775435261339,0.02,0.3,-0.1,0.2,0.3
1753800513.5284529,0.1681288005125655,0.3338737920245291,0.16444623611432185,0.3268964770385217,-0.15713675495247145,1.6540765907033348,1.2737453529326288,0.9662919414603729,-0.059579010187958636,-0.2861377043579714,3.710805577585419,-1.9125754553279397,-5.923853800980462,-3.1080481507183224,-4.2330310806190985,-0.48654319825007303,0.02,0.3,-0.1,0.2,0.3
1753800513.537268,0.168615431935465,0.33328195445229863,0.164819474365678,0.32632669526213554,-0.1530825422660263,1.6538125512847492,1.2725005581723758,0.9730110447468392,-0.0633694604605422,-0.29875074246072475,3.758082191843631,-2.0506012051164704,-5.728240629991442,-3.146210341912184,-4.229197508486245,-0.4830919045643294,0.02,0.3,-0.1,0.2,0.3
1753800513.5460627,0.16910701934548328,0.33268880296549425,0.16519913347151047,0.32575540744162546,-0.14900408992592765,1.6535366394604925,1.2711977540724984,0.9788285616236764,-0.06621883782164611,-0.3126729839705782,3.6875473915472403,-2.044215384240712,-5.736341348708958,-3.1813175767552115,-4.225965969819244,-0.47968073971552033,0.02,0.3,-0.1,0.2,0.3
1753800513.5540795,0.16960348511526976,0.3320943609807209,0.16558519343686376,0.3251826308566269,-0.14490400154933408,1.6532520499691938,1.2698324333712214,0.9840212103824542,-0.06830147791166574,-0.3276769683064613,3.539923019724014,-1.9394611395979064,-5.883066995355767,-3.2108702483576,-4.2214238455964725,-0.4764374705569676,0.02,0.3,-0.1,0.2,0.3
1753800513.6624172,0.1701047508471241,0.33149865196553047,0.1659776670889277,0.3246082957577641,-0.14078425843247566,1.6529603660187009,1.2684025083509642,0.9887383480460203,-0.07000414811831512,-0.3431820048617186,3.352334719502485,-1.7812784998161137,-6.104208163172106,-3.241598085951601,-4.219883478081547,-0.47320999819926063,0.02,0.3,-0.1,0.2,0.3
